web-scraper-order,web-scraper-start-url,link,link-href,title,price,ratings,num_rates,screen_size,refresh_rate,chipset,GPU,sim_slot,RAM,internal_storage,battery,operating_system,type
1742967460-11,https://cellphones.com.vn/mobile.html,"OnePlus Nord 2T 6.43 inches 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-nord-2t.html,OnePlus Nord 2T,,,,6.43 inches,90Hz,Dimensity 1300,,,,,4.500 mAh,"OxygenOS 12, Android 12",https://cellphones.com.vn/mobile/oneplus.html
1742967470-12,https://cellphones.com.vn/mobile.html,"OnePlus 9 6.55 inches8 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-9.html,OnePlus 9,Giá liên hệ,,,6.55 inches,,Snapdragon 888,Adreno 660,2 SIM (Nano-SIM),8 GB,128 GB,Li-po 4500 mAh,Android 11,https://cellphones.com.vn/mobile/oneplus.html
1742967480-13,https://cellphones.com.vn/mobile.html,"OnePlus Ace Pro 6.7 inches8 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-ace-pro.html,OnePlus Ace Pro,,,,6.7 inches,,Snapdragon 8+ Gen 1,,,8 GB,,4.800 mAh,,https://cellphones.com.vn/mobile/oneplus.html
1742967490-14,https://cellphones.com.vn/mobile.html,"OnePlus Nord CE 6.51 inches6 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-nord-ce.html,OnePlus Nord CE,Giá liên hệ,,,6.51 inches,90Hz,Qualcomm Snapdragon 750G,Adreno 619,2 SIM (Nano-SIM),6 GB,128 GB,4500mAh,"OxygenOS, nền tảng Android 11",https://cellphones.com.vn/mobile/oneplus.html
1742967499-15,https://cellphones.com.vn/mobile.html,"OnePlus Nord N20 SE 6.56 inches4 GB64 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-nord-n20-se.html,OnePlus Nord N20 SE,,,,6.56 inches,60Hz,Helio G35 (12 nm),PowerVR GE8320,2 SIM (Nano-SIM),4 GB,64 GB,Li-Po 5000 mAh,Android 12,https://cellphones.com.vn/mobile/oneplus.html
1742967509-16,https://cellphones.com.vn/mobile.html,"OnePlus V Fold 16 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-v-fold.html,OnePlus V Fold,,,,,,Snapdragon 8 Gen 2 (4 nm),Adreno 740,2 SIM (Nano-SIM),16 GB,256 GB,4800 mAh,Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967520-17,https://cellphones.com.vn/mobile.html,"OnePlus Ace 2V 6.74 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-ace-2v.html,OnePlus Ace 2V,,,,6.74 inches,"Tần số quét 120Hz 
 1B colors, HDR10+",Snapdragon 8+ Gen 1 (4 nm),Adreno 730,2 SIM (Nano-SIM),12 GB,256 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967529-18,https://cellphones.com.vn/mobile.html,"OnePlus 9 Pro 6.7 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-9-pro.html,OnePlus 9 Pro,Giá liên hệ,,,6.7 inches,"Tần số quét 120Hz, HDR10+, độ sáng màn hình 1300 nits",Snapdragon 888 5G (5 nm),Adreno 660,2 SIM (Nano-SIM),12 GB,256 GB,Li-Po 4500 mAh,"Android 11, OxygenOS 11.2.7.7",https://cellphones.com.vn/mobile/oneplus.html
1742967538-19,https://cellphones.com.vn/mobile.html,"OnePlus Nord N30 6.72 inches8 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-nord-n30.html,OnePlus Nord N30,,,,6.72 inches,,Snapdragon 695 5G (6 nm),Adreno 619,Nano-SIM,8 GB,128 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967548-20,https://cellphones.com.vn/mobile.html,"Oneplus Open 6.3 inches16 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-open.html,Oneplus Open,,,,6.3 inches,,Snapdragon 8 Gen 2,,,16 GB,,"4,805mAh",Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967557-21,https://cellphones.com.vn/mobile.html,"Oneplus Nord N300 6.56 inches4 GB64 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-nord-n300.html,Oneplus Nord N300,,,,6.56 inches,,MediaTek MT6833P Mật độ 810 (6 nm),Mali-G57 MC2,Nano-SIM,4 GB,64 GB,5000 mAh,Android 12,https://cellphones.com.vn/mobile/oneplus.html
1742967566-22,https://cellphones.com.vn/mobile.html,"Oneplus Ace 2 Pro 6.74 inches16 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/oneplus-ace-2-pro.html,Oneplus Ace 2 Pro,,5.0/5,2,6.74 inches,,Snapdragon 8 Gen 2,Adreno 740,,16 GB,,"5,000 mAh",Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967575-23,https://cellphones.com.vn/mobile.html,"OnePlus Ace 3 Pro  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-oneplus-ace-3-pro.html,OnePlus Ace 3 Pro,,4.0/5,1,,,,,,,,,,https://cellphones.com.vn/mobile/oneplus.html
1742967584-24,https://cellphones.com.vn/mobile.html,"OnePlus 13  
          Hết hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-oneplus-13.html,OnePlus 13,,,,,,,,,,,,,https://cellphones.com.vn/mobile/oneplus.html
1742967593-25,https://cellphones.com.vn/mobile.html,"OnePlus 11 5G 8GB 128GB - Chỉ có tại CellphoneS 6.7 inches8GB + Mở rộng 8GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      15.990.000đ
     
        17.990.000đ
       
          Giảm 11%
            Tặng ốp lưng OnePlus 11 5G Mocoll trong suốt",https://cellphones.com.vn/oneplus-11-8gb-128gb.html,OnePlus 11 5G 8GB 128GB - Chỉ có tại CellphoneS,15.990.000 đ,5.0/5,2,6.7 inches,120Hz,Snapdragon 8 Gen 2 (4 nm),Adreno 740,2 SIM (nano‑SIM và eSIM),8GB + Mở rộng 8GB,128 GB,5000 mAh,OxygenOS trên nền tảng Android™ 13,https://cellphones.com.vn/mobile/oneplus.html
1742967603-26,https://cellphones.com.vn/mobile.html,"OnePlus 11 5G 16GB 256GB 6.7 inches16GB + mở rộng 12GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      18.990.000đ
     
        19.990.000đ
       
          Giảm 5%
            Tặng ốp lưng OnePlus 11 5G Mocoll trong suốt",https://cellphones.com.vn/oneplus-11.html,OnePlus 11 5G 16GB 256GB,18.990.000 đ,,,6.7 inches,120Hz,Snapdragon 8 Gen 2 (4 nm),Adreno 740,2 SIM (nano‑SIM và eSIM),16GB + mở rộng 12GB,256 GB,5000 mAh,OxygenOS trên nền tảng Android™ 13,https://cellphones.com.vn/mobile/oneplus.html
1742967613-27,https://cellphones.com.vn/mobile.html,"OnePlus Nord CE 3 Lite - Chỉ có tại CellphoneS 6.72 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      5.690.000đ
     
        6.190.000đ
       
          Giảm 8%
            
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/oneplus-nord-ce-3-lite.html,OnePlus Nord CE 3 Lite - Chỉ có tại CellphoneS,5.690.000₫,4.9/5,9,6.72 inches,"Tần số quét 120Hz
Hỗ trợ sRGB
 Display P3
 chế độ ban đêm
 Chế độ bảo vệ mắt",Snapdragon 695 5G,Adreno 619,2 SIM (Nano-SIM),8 GB,256 GB,"5,000 mAh",Android 13,https://cellphones.com.vn/mobile/oneplus.html
1742967627-28,https://cellphones.com.vn/mobile.html,"Nokia C3 5.99 inches3 GB32 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/nokia-c3.html,Nokia C3,Giá liên hệ,,,5.99 inches,,Unisoc SC9863A (28nm),IMG8322,2 SIM (Nano-SIM),3 GB,32 GB,Li-Ion 3040 mAh battery,Android 10,https://cellphones.com.vn/mobile/nokia.html
1742967636-29,https://cellphones.com.vn/mobile.html,"Nokia XR21 5G 6.66 inches6 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/nokia-xr21.html,Nokia XR21 5G,Giá liên hệ,5.0/5,1,6.66 inches,,"Snapdragon 480, 8 lõi có xung nhịp tối đa 2.0 GHz",,2 SIM (Nano-SIM),6 GB,128 GB,5.000 mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967645-30,https://cellphones.com.vn/mobile.html,"Nokia 130 1.8 inches4MB8MB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/nokia-130.html,Nokia 130,,,,1.8 inches,,,,Mini-SIM,4MB,8MB,1020 mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967656-31,https://cellphones.com.vn/mobile.html,"Nokia 150 2.4 inches4MB4MB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/nokia-150.html,Nokia 150,,,,2.4 inches,,,,Mini-SIM,4MB,4MB,"1.020 mAh
Tháo ráp",S30+,https://cellphones.com.vn/mobile/nokia.html
1742967665-32,https://cellphones.com.vn/mobile.html,"Nokia 105 2 SIM (2019) 1.77 inches 
          Sắp về hàng Trả góp 0%  
    :
   
      520.000đ",https://cellphones.com.vn/nokia-105-dual-sim-2019.html,Nokia 105 2 SIM (2019),520.000 đ,4.8/5,8,1.77 inches,,,,Micro-SIM,,,Pin chuẩn Li-Ion 800 mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967675-33,https://cellphones.com.vn/mobile.html,"Nokia 8210 4G 128MB 2.8 inches128 MB 
          Sắp về hàng Trả góp 0%  
    :
   
      1.570.000đ
     
        1.590.000đ
       
          Giảm 1%
           Smember giảm thêm
            đến 16.000đ",https://cellphones.com.vn/nokia-8210-4g.html,Nokia 8210 4G 128MB,1.570.000₫,5.0/5,4,2.8 inches,,Unisoc T107 (22 nm),,2 SIM (Nano-SIM),,128 MB,"Li-Ion 1450 mAh, có thể tháo rời",S30 +,https://cellphones.com.vn/mobile/nokia.html
1742967687-34,https://cellphones.com.vn/mobile.html,"Nokia 110 4G Pro 1.77 inches128 MB  Trả góp 0%  
    :
   
      750.000đ
        Smember giảm thêm
            đến 8.000đ",https://cellphones.com.vn/nokia-110-4g-pro.html,Nokia 110 4G Pro,750.000₫,4.9/5,18,1.77 inches,,Unisoc T107,,2 SIM (Nano-SIM),,128 MB,1450mAh,S30+,https://cellphones.com.vn/mobile/nokia.html
1742967696-35,https://cellphones.com.vn/mobile.html,"Nokia 105 4G Pro 1.77 inches128 MB  Trả góp 0%  
    :
   
      680.000đ
        Smember giảm thêm
            đến 7.000đ",https://cellphones.com.vn/nokia-105-4g-pro.html,Nokia 105 4G Pro,680.000₫,4.8/5,20,1.77 inches,,Unisoc T107,,2 SIM (Nano-SIM),,128 MB,1450mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967706-36,https://cellphones.com.vn/mobile.html,"Nokia 220 4G 2.8 inches128 MB  Trả góp 0%  
    :
   
      950.000đ
     
        990.000đ
       
          Giảm 4%
           Smember giảm thêm
            đến 10.000đ",https://cellphones.com.vn/nokia-220-4g.html,Nokia 220 4G,950.000₫,4.9/5,18,2.8 inches,,Unisoc T107,,2 Nano-SIM,,128 MB,1450 mAh,S30+,https://cellphones.com.vn/mobile/nokia.html
1742967718-37,https://cellphones.com.vn/mobile.html,"Nokia 3210 4G  2.4 inches128 MB  Trả góp 0%  
    :
   
      1.550.000đ
     
        1.590.000đ
       
          Giảm 3%
           Smember giảm thêm
            đến 16.000đ",https://cellphones.com.vn/nokia-3210-4g.html,Nokia 3210 4G,1.550.000₫,4.8/5,6,2.4 inches,,Unisoc T107,,2 Nano-SIM,,128 MB,1450 mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967727-38,https://cellphones.com.vn/mobile.html,"Nokia HMD 105 4G 2.4 inches128 MB  Trả góp 0%  
    :
   
      650.000đ
        Smember giảm thêm
            đến 7.000đ",https://cellphones.com.vn/nokia-hmd-105-4g.html,Nokia HMD 105 4G,650.000₫,5.0/5,10,2.4 inches,,Unisoc 8910  & T127,,,,128 MB,1450 mAh,,https://cellphones.com.vn/mobile/nokia.html
1742967739-39,https://cellphones.com.vn/mobile.html,"masstel fami 60  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/masstel-fami-60.html,masstel fami 60,,,,2.0 inches,,Unisoc UIS8910,"RAM 16MB, ROM 24MB",2 SIM (Nano-SIM),,,2000 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967748-40,https://cellphones.com.vn/mobile.html,"Masstel Izi 10 4G  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/masstel-izi-10-4g.html,Masstel Izi 10 4G,,,,1.77 inches,,Unisoc UMS9117,,2 SIM (Nano-SIM),,128 MB,1000 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967757-41,https://cellphones.com.vn/mobile.html,"Masstel izi S3 4G  
          Hết hàng Trả góp 0%  
    :
   
      470.000đ",https://cellphones.com.vn/dien-thoai-masstel-izi-s3.html,Masstel izi S3 4G,470.000₫,,,1.77 inches,,,,,,16 GB,1000 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967767-42,https://cellphones.com.vn/mobile.html,"Masstel Izi 15 4G  
          Sắp về hàng Trả góp 0%  
    :
   
      450.000đ",https://cellphones.com.vn/masstel-izi-15.html,Masstel Izi 15 4G,450.000₫,5.0/5,5,1.77 inches,,Unisoc UMS9117,"RAM 48 MB, ROM 128 MB",2 SIM (Nano-SIM),,,1000 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967776-43,https://cellphones.com.vn/mobile.html,"Masstel Fami 12S 4G   Trả góp 0%  
    :
   
      650.000đ",https://cellphones.com.vn/dien-thoai-masstel-fami-12s-4g.html,Masstel Fami 12S 4G,650.000₫,,,1.77 inches,,Unisoc T107,,2 SIM (Nano-SIM),,,1400mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967785-44,https://cellphones.com.vn/mobile.html,"Masstel izi 16 4G   Trả góp 0%  
    :
   
      450.000đ",https://cellphones.com.vn/dien-thoai-masstel-izi-16-4g.html,Masstel izi 16 4G,450.000₫,5.0/5,5,1.77 inches,,Unisoc UMS9117,,2 SIM (Nano-SIM),,128 MB,1000 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967794-45,https://cellphones.com.vn/mobile.html,"Masstel izi T2 4G   Trả góp 0%  
    :
   
      500.000đ",https://cellphones.com.vn/dien-thoai-masstel-izi-t2.html,Masstel izi T2 4G,500.000₫,4.8/5,5,2.4 inches,,Unisoc T107,,2 SIM (Nano-SIM),48MB,128 MB,1800 mAh,,https://cellphones.com.vn/mobile/masstel.html
1742967810-46,https://cellphones.com.vn/mobile.html,"Nubia Red Magic 6S 12GB 128GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/nubia-red-magic-6s.html,Nubia Red Magic 6S 12GB 128GB,Giá liên hệ,,,6.8 inches,,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Adreno 660,2 SIM (Nano-SIM),12 GB,128 GB,Li-Po 5050 mAh,"Android 11, Redmagic 4.5",https://cellphones.com.vn/mobile/nubia/redmagic.html
1742967822-47,https://cellphones.com.vn/mobile.html,"ZTE Nubia Z60S Pro 6.8 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-zte-nubia-z60s-pro.html,ZTE Nubia Z60S Pro,,,,6.8 inches,Tần số quét 120 Hz,Snapdragon 8 Gen 2,,,12 GB,256 GB,5100 mAh,,https://cellphones.com.vn/mobile/zte.html
1742967831-48,https://cellphones.com.vn/mobile.html,"ZTE Z70 Ultra  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-zte-z70-ultra.html,ZTE Z70 Ultra,,,,,,,,,,,,,https://cellphones.com.vn/mobile/zte.html
1742967840-49,https://cellphones.com.vn/mobile.html,"Điện thoại ZTE Blade V40 6GB 128GB 6.67 inches6GB + Mở rộng 5GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.290.000đ
     
        2.490.000đ
       
          Giảm 8%
           Smember giảm thêm
            đến 23.000đ 
            S-Student giảm thêm đến 100.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-zte-blade-v40.html,Điện thoại ZTE Blade V40 6GB 128GB,2.290.000₫,4.8/5,19,6.67 inches,,Unisoc T618,ARM Mali-G57,2 SIM (Nano-SIM),6GB + Mở rộng 5GB,128 GB,5000 mAh,Android R,https://cellphones.com.vn/mobile/zte.html
1742967850-50,https://cellphones.com.vn/mobile.html,"ZTE Nubia Z60 Ultra 6.8 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/zte-nubia-z60-ultra.html,ZTE Nubia Z60 Ultra,,,,6.8 inches,"1 tỷ màu, Tần số quét 120Hz, HDR10+, 1500 nits",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Adreno 750,2 SIM (Nano-SIM),8 GB,256 GB,6000 mAh,"Android 14, MyOS 14",https://cellphones.com.vn/mobile/zte.html
1742967859-51,https://cellphones.com.vn/mobile.html,"Điện thoại ZTE Blade A72 3GB 128GB 6.745 inches3 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      1.990.000đ
     
        2.490.000đ
       
          Giảm 20%
           Smember giảm thêm
            đến 20.000đ 
            S-Student giảm thêm đến 100.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-zte-blade-a72.html,Điện thoại ZTE Blade A72 3GB 128GB,1.990.000₫,5.0/5,4,6.745 inches,"IPS, 16 triệu màu, Waterdrop
 Tần số quét 90Hz",UMS9230（T606）,ARM Mali Natt 650MHz,2 SIM (Nano-SIM),3 GB,128 GB,5130 mAh,Android R,https://cellphones.com.vn/mobile/zte.html
1742967868-52,https://cellphones.com.vn/mobile.html,"Điện thoại ZTE Blade A54 4GB 128GB 6.6 inches4GB + Mở rộng 4GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.190.000đ
     
        2.290.000đ
       
          Giảm 4%
           Smember giảm thêm
            đến 22.000đ 
            S-Student giảm thêm đến 100.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-zte-blade-a54.html,Điện thoại ZTE Blade A54 4GB 128GB,2.190.000₫,5.0/5,1,6.6 inches,Tần số quét 90Hz,Unisoc SC9863A (28nm),IMG8322,2 SIM (Nano-SIM),4GB + Mở rộng 4GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/zte.html
1742967880-53,https://cellphones.com.vn/mobile.html,"ZTE Blade V50 Design 8GB 128GB 6.6 inches8GB + Mở rộng 10GB128 GB  Trả góp 0%  
    :
   
      2.790.000đ
     
        2.990.000đ
       
          Giảm 7%
           Smember giảm thêm
            đến 28.000đ 
            S-Student giảm thêm đến 100.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/zte-blade-v50-design.html,ZTE Blade V50 Design 8GB 128GB,2.790.000 đ,4.8/5,22,6.6 inches,"16.7 triệu màu
Tần số quét 90Hz",Unisoc T606（UMS9230）,ARM Mali G57 1Core @650MHz,2 SIM (Nano-SIM),8GB + Mở rộng 10GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/zte.html
1742967889-54,https://cellphones.com.vn/mobile.html,"ZTE Blade A52 3GB 64GB 6.52 inches3 GB64 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      1.790.000đ
     
        2.290.000đ
       
          Giảm 22%
           Smember giảm thêm
            đến 18.000đ 
            S-Student giảm thêm đến 90.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/zte-blade-a52-3gb-64gb.html,ZTE Blade A52 3GB 64GB,1.790.000 đ,4.7/5,9,6.52 inches,,Unisoc SC9863A,GE8322 up to 550MHz,2 SIM (Nano-SIM),3 GB,64 GB,5000 mAh,Android 11,https://cellphones.com.vn/mobile/zte.html
1742967898-55,https://cellphones.com.vn/mobile.html,"ZTE Blade V50 Design 8GB 256GB 6.6 inches8GB + Mở rộng 10GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.990.000đ
     
        3.290.000đ
       
          Giảm 9%
           Smember giảm thêm
            đến 30.000đ 
            S-Student giảm thêm đến 100.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/zte-blade-v50-design-8gb-256gb.html,ZTE Blade V50 Design 8GB 256GB,2.990.000 đ,4.9/5,27,6.6 inches,"16.7 triệu màu
Tần số quét 90Hz",Unisoc T606（UMS9230）,ARM Mali G57 1Core @650MHz,2 SIM (Nano-SIM),8GB + Mở rộng 10GB,256 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/zte.html
